epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.741,2.07082,4.04226,2.06865,0.00479,0.64236,0.10052,0.03265,2.00575,4.29784,2.15376,0.000296114,0.000296114,0.000296114
2,249.945,1.95589,3.45933,1.99678,0.6911,0.09183,0.13245,0.0519,2.19846,3.87999,2.37922,0.000587251,0.000587251,0.000587251
3,360.015,1.90867,3.23912,1.96609,0.40137,0.152,0.13701,0.04473,2.36905,4.10286,2.5803,0.00086639,0.00086639,0.00086639
4,476.595,1.87385,3.04888,1.96692,0.30792,0.23998,0.16755,0.06018,2.26145,5.23842,2.46339,0.000855005,0.000855005,0.000855005
5,588.95,1.90194,2.96649,1.96353,0.1774,0.28991,0.14984,0.0609,2.16893,4.32782,2.40589,0.000837007,0.000837007,0.000837007
6,709.629,1.89801,2.86847,1.93689,0.3434,0.35371,0.2326,0.08919,2.10146,3.17336,2.32254,0.000819009,0.000819009,0.000819009
7,827.055,1.84759,2.75608,1.89913,0.34109,0.39965,0.32117,0.1301,2.04578,2.89948,2.18817,0.000801011,0.000801011,0.000801011
8,946.924,1.79096,2.68598,1.86745,0.23792,0.36572,0.24223,0.09857,1.98183,3.23303,2.15404,0.000783013,0.000783013,0.000783013
9,1058.94,1.80751,2.60872,1.86899,0.30097,0.3399,0.27748,0.11686,1.9689,2.74273,2.10146,0.000765014,0.000765014,0.000765014
10,1172.12,1.74438,2.48115,1.81396,0.43603,0.37726,0.33886,0.14344,2.01786,2.73273,2.1016,0.000747016,0.000747016,0.000747016
11,1284.33,1.79181,2.45868,1.83584,0.40222,0.42375,0.35382,0.14675,1.98248,2.70164,2.13484,0.000729018,0.000729018,0.000729018
12,1396.15,1.7405,2.3799,1.82653,0.39639,0.36594,0.34495,0.13696,2.05091,2.84603,2.15668,0.00071102,0.00071102,0.00071102
13,1508.99,1.72968,2.32727,1.78953,0.42742,0.38932,0.39862,0.18647,1.92461,2.40307,2.04063,0.000693022,0.000693022,0.000693022
14,1617.6,1.68021,2.20669,1.74881,0.46034,0.44568,0.38999,0.18461,1.88133,2.53818,2.01206,0.000675023,0.000675023,0.000675023
15,1726.08,1.70861,2.20106,1.75763,0.45023,0.47981,0.44739,0.21525,1.93284,2.33691,2.03984,0.000657025,0.000657025,0.000657025
16,1835.92,1.65468,2.15343,1.7172,0.53237,0.43956,0.42908,0.20081,1.86011,2.38617,1.98804,0.000639027,0.000639027,0.000639027
17,1945.38,1.6451,2.15313,1.71403,0.57109,0.46514,0.47855,0.22143,1.8928,2.27517,2.04975,0.000621029,0.000621029,0.000621029
18,2054.65,1.63737,2.09065,1.7167,0.52067,0.4859,0.4562,0.21221,1.88797,2.30628,2.02176,0.000603031,0.000603031,0.000603031
